meet_athletic_net_id,name,gender,distance_meters,venue_name,athletic_net_id
237402,"2.13 Miles Freshman Boys","M",3428,"Crystal Springs","949170"
237402,"2.13 Miles Sophomore Boys","M",3428,"Crystal Springs","949171"
237402,"2.95 Miles Junior Boys","M",4748,"Crystal Springs","949172"
237402,"2.95 Miles Senior Boys","M",4748,"Crystal Springs","949173"
237402,"2.13 Miles Freshman Girls","F",3428,"Crystal Springs","949174"
237402,"2.13 Miles Sophomore Girls","F",3428,"Crystal Springs","949175"
237402,"2.95 Miles Junior Girls","F",4748,"Crystal Springs","949176"
237402,"2.95 Miles Senior Girls","F",4748,"Crystal Springs","949177"
248515,"2.74 Miles Junior Varsity","M",4410,"Montgomery Hill Park","986937"
248515,"2.74 Miles Varsity","M",4410,"Montgomery Hill Park","986936"
248515,"2.74 Miles Reserve Boys","M",4410,"Montgomery Hill Park","986944"
248515,"2.74 Miles Junior Varsity","F",4410,"Montgomery Hill Park","986939"
248515,"2.74 Miles Varsity","F",4410,"Montgomery Hill Park","986938"
248515,"2.74 Miles Reserve Girls","F",4410,"Montgomery Hill Park","986948"
239089,"2.95 Miles 9th Grade","M",4748,"Shadow Cliffs Regional Park","955097"
239089,"2.95 Miles Varsity","M",4748,"Shadow Cliffs Regional Park","955099"
239089,"2.95 Miles 10th Grade","M",4748,"Shadow Cliffs Regional Park","955098"
239089,"2.95 Miles JV Boys","M",4748,"Shadow Cliffs Regional Park","992464"
239089,"3,000 Meters Middle School","M",3000,"Shadow Cliffs Regional Park","992466"
239089,"2.95 Miles Open","F",4748,"Shadow Cliffs Regional Park","955103"
239089,"2.95 Miles Varsity","F",4748,"Shadow Cliffs Regional Park","955101"
239089,"3,000 Meters Middle School","F",3000,"Shadow Cliffs Regional Park","992465"
237815,"2.95 Miles Varsity","M",4748,"Crystal Springs","1000078"
237815,"2.95 Miles Championship","M",4748,"Crystal Springs","1000080"
237815,"2.95 Miles Junior Varsity","M",4748,"Crystal Springs","1000082"
237815,"2.95 Miles Sophomore","M",4748,"Crystal Springs","1000086"
237815,"2.95 Miles Freshman","M",4748,"Crystal Springs","1000087"
237815,"2.95 Miles Varsity","F",4748,"Crystal Springs","1000079"
237815,"2.95 Miles Championship","F",4748,"Crystal Springs","1000081"
237815,"2.95 Miles Junior Varsity","F",4748,"Crystal Springs","1000083"
237815,"2.95 Miles Frosh/Soph","F",4748,"Crystal Springs","1000085"
237891,"5,000 Meters Varsity Combined 1-7","M",5000,"Hooker Oak Park","1003003"
237891,"3,380 Meters Frosh/Soph Boys","M",3380,"Hooker Oak Park","950914"
237891,"5,000 Meters Varsity 4-7 Boys","M",5000,"Hooker Oak Park","950913"
237891,"5,000 Meters Varsity 1-3 Boys","M",5000,"Hooker Oak Park","950912"
237891,"3,380 Meters JV/Open (Non Top 7 Varsity) Boys","M",3380,"Hooker Oak Park","950915"
237891,"1.3 Miles Middle School Boys","M",2092,"Hooker Oak Park","950919"
237891,"5,000 Meters Varsity Combined 1-7","F",5000,"Hooker Oak Park","1003005"
237891,"3,380 Meters Junior Varsity/Open Girls","F",3380,"Hooker Oak Park","950916"
237891,"5,000 Meters Varsity 4-7 Girls","F",5000,"Hooker Oak Park","950918"
237891,"5,000 Meters Varsity 1-3 Girls","F",5000,"Hooker Oak Park","950917"
237891,"1.3 Miles Middle School Girls","F",2092,"Hooker Oak Park","950920"
252190,"2.74 Miles Junior Varsity","M",4410,"Montgomery Hill Park","1005460"
252190,"2.74 Miles Varsity","M",4410,"Montgomery Hill Park","1005468"
252190,"2.74 Miles Reserve","M",4410,"Montgomery Hill Park","1005473"
252190,"2.74 Miles Junior Varsity","F",4410,"Montgomery Hill Park","1005462"
252190,"2.74 Miles Varsity","F",4410,"Montgomery Hill Park","1005466"
252190,"2.74 Miles Reserve","F",4410,"Montgomery Hill Park","1005472"
252795,"2.95 Miles Varsity- MH","M",4748,"Crystal Springs","1008428"
252795,"2.95 Miles Varsity- STE","M",4748,"Crystal Springs","1008429"
252795,"2.95 Miles Varsity- WV","M",4748,"Crystal Springs","1008430"
252795,"2.95 Miles Varsity- STW","M",4748,"Crystal Springs","1008431"
252795,"2.95 Miles Junior Varsity- MH","M",4748,"Crystal Springs","1008436"
252795,"2.95 Miles Junior Varsity- STE","M",4748,"Crystal Springs","1008437"
252795,"2.95 Miles Junior Varsity- WV","M",4748,"Crystal Springs","1008438"
252795,"2.95 Miles Junior Varsity- STW","M",4748,"Crystal Springs","1008439"
252795,"2.95 Miles Varsity- MH","F",4748,"Crystal Springs","1008424"
252795,"2.95 Miles Varsity- STE","F",4748,"Crystal Springs","1008425"
252795,"2.95 Miles Varsity- WV","F",4748,"Crystal Springs","1008426"
252795,"2.95 Miles Varsity- STW","F",4748,"Crystal Springs","1008427"
252795,"2.95 Miles Junior Varsity- MH","F",4748,"Crystal Springs","1008432"
252795,"2.95 Miles Junior Varsity- STE","F",4748,"Crystal Springs","1008433"
252795,"2.95 Miles Junior Varsity- WV","F",4748,"Crystal Springs","1008434"
252795,"2.95 Miles Junior Varsity- STW","F",4748,"Crystal Springs","1008435"
236799,"2.95 Miles Division 2","M",4748,"Crystal Springs","1010700"
236799,"2.95 Miles Division 3","M",4748,"Crystal Springs","1010702"
236799,"2.95 Miles Division 4","M",4748,"Crystal Springs","1010704"
236799,"2.95 Miles Division 5","M",4748,"Crystal Springs","1010706"
236799,"2.95 Miles Division 1","M",4748,"Crystal Springs","1010708"
236799,"2.95 Miles Division 2","F",4748,"Crystal Springs","1010699"
236799,"2.95 Miles Division 3","F",4748,"Crystal Springs","1010701"
236799,"2.95 Miles Division 4","F",4748,"Crystal Springs","1010703"
236799,"2.95 Miles Division 5","F",4748,"Crystal Springs","1010705"
236799,"2.95 Miles Division 1","F",4748,"Crystal Springs","1010707"
