course_name,distance_meters,mile_difficulty,,,,
Track | 1600m,1600,0.998351972,,,,
Zone 9,1609,0.711571513,,,,
Zone 8,1609,0.759752796,,,,
Zone 7,1609,0.841283108,,,,
Zone 6,1609,0.959882284,,,,
Track | 1 Mile,1609,1,,,,
V02Max,1609,1.033785422,,,,
Zone 5,1609,1.07848146,,,,
Zone 4,1609,1.178540318,,,,
Threshold,1609,1.181998386,,,,
Zone 3,1609,1.289723367,,,,
Zone 2,1609,1.441683343,,,,
Zone 1,1609,1.641812831,,,,
Camden Invit | 1.75 Miles,2816,1.141848146,,,,
Vasona Park | 1.9 Miles,3058,1.130076516,,,,
Lynbrook High School | 1.9 Miles,3058,1.147733961,,,,
York School | 1.95 Miles,3138,1.288993526,,,,
Track | 3200m,3200,1.065332548,,,,
Sunnyvale High School | 2 Miles,3219,1.065332549,,,,
Track | 2 Miles,3219,1.065450265,,,,
Elkhorn GC | 2 Miles,3219,1.086027075,,,,
Lynbrook High School | 2 Miles,3219,1.093878752,,,,
Newhall Park | 2 Miles,3219,1.104649794,,,,
Del Mar High School | 2 Miles,3219,1.130076516,,,,
Vasona Park | 2 Miles,3219,1.135962331,,,,
Cupertino High School | 2 Miles,3219,1.161918776,,,,
Soquel High School | 2 Miles,3219,1.177163037,,,,
Lagoon Valley Park | 2 Miles,3219,1.183048852,,,,
Coyote Park | 2.0 Miles,3219,1.246674514,,,,
York School | 2 Miles,3219,1.267216009,,,,
Alum Rock Park | 2 Miles,3219,1.318422602,,,,
Fremont HS | 2.05 Miles,3299,1.132984392,,,,
Golden Gate Park (Const) | 2.08 Miles,3347,1.067098293,,,,
Lynbrook High School | 2.1 Miles,3380,1.103001766,,,,
Del Mar High School | 2.1 Miles,3380,1.118304885,,,,
Fremont High School | 2.1 Miles,3380,1.132984392,,,,
Hellyer Park | 2.1 Miles,3380,1.153619776,,,,
Crystal Springs | 2.13 Miles,3428,1.104178929,,,,
Golden Gate Park | 2.13 Miles,3428,1.124849912,,,,
Vasona Park | 2.15 Miles,3460,1.141848146,,,,
Vasona Park | 2.175 Miles,3500,1.103590347,,,,
Hooker Oak Park | 3.5 Kilometers,3500,1.061094762,,,,
Woodward Park | 3.5 Kilometers,3500,1.071218364,,,,
Del Mar High School | 2.2 Miles,3541,1.082989994,,,,
Lynbrook High School | 2.2 Miles,3541,1.103001766,,,,
Camden High School | 2.2 Miles,3541,1.141848146,,,,
Crystal Springs | 2.25 Miles,3621,1.097115951,,,,
Half Moon Bay HS  | 2.25 Miles,3621,1.175350782,,,,
