id,name,location,venue,distance_meters,distance_display,difficulty_rating,elevation_gain_meters,surface_type,terrain_description,course_map_url,athletic_net_id,notes,created_at,updated_at
83c833eb-a773-490c-8a41-6b24595e031d,Alum Rock | 2.9 Miles,,,4667,4667m,1.140894644,,,,,,,2025-10-24T21:04:05.87446+00:00,2025-10-24T21:04:05.87446+00:00
7645108b-7150-47a2-8529-2e5f36266d08,Alum Rock Park | 2 Miles,,,3219,3219m,1.318422602,,,,,,,2025-10-24T21:03:59.321066+00:00,2025-10-24T21:03:59.321066+00:00
278e8c60-4c04-40c1-af0e-9bd045090ecf,Alum Rock Park | 2.3 Miles,,,3701,3701m,1.132548558,,,,,,,2025-10-24T21:04:01.55939+00:00,2025-10-24T21:04:01.55939+00:00
823c8268-e20d-46f1-b0b3-b8acb7a44528,Alum Rock Park | 2.4 Miles,,,3862,3862m,1.133608005,,,,,,,2025-10-24T21:04:02.297617+00:00,2025-10-24T21:04:02.297617+00:00
21395cbd-b379-497d-a709-d80b8a94f5de,Alum Rock Park | 2.85 Miles,,,4587,4587m,1.133608005,,,,,,,2025-10-24T21:04:05.428966+00:00,2025-10-24T21:04:05.428966+00:00
ad54514c-1616-497f-8692-978d671826d2,Alum Rock Park | 2.95 Miles,,,4748,4748m,1.133608005,,,,,,,2025-10-24T21:04:06.298024+00:00,2025-10-24T21:04:06.298024+00:00
0a1f2eaf-0af6-43f8-93f6-38ecf3c9f0da,Andrew Hill High School | 2.53 Miles,,,4072,4072m,1.139258387,,,,,,,2025-10-24T21:04:03.337493+00:00,2025-10-24T21:04:03.337493+00:00
33114957-13ea-42f9-8335-5c27013afac4,Aptos High School | 2.5 Miles,,,4023,4023m,1.130076516,,,,,,,2025-10-24T21:04:03.104551+00:00,2025-10-24T21:04:03.104551+00:00
7083d2f9-9c2a-48d6-9961-3fba4699ca63,Arcade Creek GC | 5 Kilometers,,,5000,5000m,1.135962331,,,,,,,2025-10-24T21:04:08.597698+00:00,2025-10-24T21:04:08.597698+00:00
2338137c-765a-4aec-aacf-b934d7deaed8,Baylands 5K,"Sunnyvale, CA",Baylands Park,5000,5K,3.0,20,mixed,Flat and fast on paved paths and grass,,,,2025-10-22T23:39:20.900125+00:00,2025-10-22T23:39:20.900125+00:00
f431ef4c-fe18-459b-9d32-2c69bfde5585,Baylands Park | 4 Kilometers,,,4000,,0.92,,,,,,,2025-10-25T00:05:39.639881+00:00,2025-10-25T00:05:39.639881+00:00
6bf79730-3241-4107-bad8-5ae0a5d8dccd,Baylands Park | 5 Kilometers,,,5000,5000m,1.129841083,,,,,,,2025-10-24T21:04:08.385174+00:00,2025-10-24T21:04:08.385174+00:00
f55f745e-aef3-44b1-aea7-eca467662634,Blackford High School | 2.3 Miles,,,3701,3701m,1.154796939,,,,,,,2025-10-24T21:04:01.890221+00:00,2025-10-24T21:04:01.890221+00:00
d3c7305e-7ac3-4207-b3b0-00713a17f343,Camden High School | 2.2 Miles,,,3541,3541m,1.141848146,,,,,,,2025-10-24T21:04:01.088461+00:00,2025-10-24T21:04:01.088461+00:00
63a05fad-67b3-40f1-8ad3-79b78a9ac773,Camden High School | 2.35 Miles,,,3782,3782m,1.071218364,,,,,,,2025-10-24T21:04:02.046277+00:00,2025-10-24T21:04:02.046277+00:00
22671aac-2cee-40d8-a64d-a831a9fc5406,Camden High School | 2.65 Miles,,,4265,4265m,0.94173043,,,,,,,2025-10-24T21:05:43.801269+00:00,2025-10-24T21:05:43.801269+00:00
e8557280-6dbd-4281-a5da-ad1b088b1425,Camden Invit | 1.75 Miles,,,2816,2816m,1.141848146,,,,,,,2025-10-24T21:03:57.360625+00:00,2025-10-24T21:03:57.360625+00:00
143339c4-1147-4f6c-bce8-d206fd2f04b7,Central Park | 2.3 Miles,,,3701,3701m,1.137139494,,,,,,,2025-10-24T21:04:01.792854+00:00,2025-10-24T21:04:01.792854+00:00
92fa13d8-5f1c-459c-b00f-5a3c6df0d61b,College of San Mateo | 3 Miles,,,4828,4828m,1.118304885,,,,,,,2025-10-24T21:04:07.092381+00:00,2025-10-24T21:04:07.092381+00:00
c7c06adb-ad13-4ec0-b895-b99f6e27416b,Cooper Test,,,4763,4763m,1.106533255,,,,,,,2025-10-24T21:04:06.621384+00:00,2025-10-24T21:04:06.621384+00:00
3a5aac2c-dcc4-475a-9b89-32083531df43,Coyote Park | 2.0 Miles,,,3219,3219m,1.246674514,,,,,,,2025-10-24T21:03:59.078003+00:00,2025-10-24T21:03:59.078003+00:00
6c9393b3-93bc-4c27-92f6-e6c0156980e3,Coyote Park | 2.65 Miles,,,4265,4265m,1.12772219,,,,,,,2025-10-24T21:04:04.169071+00:00,2025-10-24T21:04:04.169071+00:00
9cb2be9f-a903-4f21-a809-67c61b91927f,Crystal Springs | 2.13 Miles,,,3428,3428m,1.104178929,,,,,,,2025-10-24T21:04:00.194114+00:00,2025-10-24T21:04:00.194114+00:00
6bc7ea41-65ff-4530-84ea-64a09703b11f,Crystal Springs | 2.25 Miles,,,3621,3621m,1.097115951,,,,,,,2025-10-24T21:04:01.192837+00:00,2025-10-24T21:04:01.192837+00:00
575e1273-137d-4daa-8503-2929e56ae680,Crystal Springs | 2.95 Miles,,,4748,4748m,1.177163037,,,,,,,2025-10-24T21:04:06.520351+00:00,2025-10-24T21:04:06.520351+00:00
2e0a6e3f-1c02-453e-b016-008a0311d42b,Crystal Springs 5K,"Belmont, CA",Crystal Springs Golf Course,5000,5K,8.0,150,grass,Very hilly with significant elevation changes,,,,2025-10-22T23:39:20.900125+00:00,2025-10-22T23:39:20.900125+00:00
2bc69fce-e7d6-43b6-9192-51577191f695,Cupertino High School | 2 Miles,,,3219,3219m,1.161918776,,,,,,,2025-10-24T21:03:58.70786+00:00,2025-10-24T21:03:58.70786+00:00
426ff3cd-ea0e-4aa2-95b6-4881508a6112,Del Mar High School | 2 Miles,,,3219,3219m,1.130076516,,,,,,,2025-10-24T21:03:58.466313+00:00,2025-10-24T21:03:58.466313+00:00
61f1510b-2c13-4047-933e-31d483af7982,Del Mar High School | 2.1 Miles,,,3380,3380m,1.118304885,,,,,,,2025-10-24T21:03:59.836754+00:00,2025-10-24T21:03:59.836754+00:00
738bbef8-2cf3-4a72-a830-1644c2bd51a3,Del Mar High School | 2.2 Miles,,,3541,3541m,1.082989994,,,,,,,2025-10-24T21:04:00.870632+00:00,2025-10-24T21:04:00.870632+00:00
9f51f323-3513-4a41-817e-6acc381bf48f,Del Mar High School | 2.3 Miles,,,3701,3701m,1.071218364,,,,,,,2025-10-24T21:04:01.456229+00:00,2025-10-24T21:04:01.456229+00:00
c3ae87cd-20af-4e89-a54a-8e9a63907bc0,Del Mar High School | 3 Miles,,,4828,4828m,1.236021189,,,,,,,2025-10-24T21:04:07.99308+00:00,2025-10-24T21:04:07.99308+00:00
