athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type
1053255,265306,Mens 2.74 Miles Varsity,M,4409,Varsity
1053256,265306,Mens 2.74 Miles Junior Varsity,M,4409,JV
1053257,265306,Womens 2.74 Miles Varsity,F,4409,Varsity
1053258,265306,Womens 2.74 Miles Junior Varsity,F,4409,JV
1053259,265306,Mens 2.74 Miles Reserves,M,4409,Reserves
1053260,265306,Womens 2.74 Miles Reserves,F,4409,Reserves
1063219,267582,Womens 2.74 Miles Junior Varsity,F,4409,JV
1063220,267582,Womens 2.74 Miles Varsity,F,4409,Varsity
1063221,267582,Mens 2.74 Miles Junior Varsity,M,4409,JV
1063222,267582,Mens 2.74 Miles Varsity,M,4409,Varsity
1063223,267582,Mens 2.74 Miles Reserves,M,4409,Reserves
1063224,267582,Womens 2.74 Miles Reserves,F,4409,Reserves
1072567,254535,Mens 2.95 Miles Varsity,M,4747,Varsity
1072568,254535,Womens 2.95 Miles Varsity,F,4747,Varsity
1072571,254535,Mens 2.95 Miles Junior Varsity Blue,M,4747,JV
1072572,254535,Womens 2.95 Miles Junior Varsity,F,4747,JV
1072573,254535,Mens 2.95 Miles Junior Varsity Gold,M,4747,JV
1072574,254535,Womens 2.95 Miles Frosh/Soph,F,4747,Frosh
1072576,254535,Mens 2.95 Miles Freshman,M,4747,Frosh
1077799,270614,Mens 2.74 Miles Varsity,M,4409,Varsity
1077800,270614,Mens 2.74 Miles Junior Varsity,M,4409,JV
1077801,270614,Womens 2.74 Miles Varsity,F,4409,Varsity
1077802,270614,Womens 2.74 Miles Junior Varsity,F,4409,JV
1077803,270614,Mens 2.74 Miles Reserves,M,4409,Reserves
1077804,270614,Womens 2.74 Miles Reserves,F,4409,Reserves
