athletic_net_id,name,short_name,city,state,league
school_silver_creek,Silver Creek,Silver Creek,,,
school_andrew_hill,Andrew Hill,Andrew Hill,,,
school_westmont,Westmont,Westmont,,,
school_independence,Independence,Independence,,,
school_pioneer,Pioneer,Pioneer,,,
school_mt_pleasant,Mt Pleasant,Mt Pleasant,,,
school_pioneer,Pioneer,Pioneer,,,
school_silver_creek,Silver Creek,Silver Creek,,,
school_andrew_hill,Andrew Hill,Andrew Hill,,,
school_independence,Independence,Independence,,,
school_westmont,Westmont,Westmont,,,
school_mt_pleasant,Mt Pleasant,Mt Pleasant,,,
school_silver_creek,Silver Creek,Silver Creek,,,
school_moreau_catholic,Moreau Catholic,Moreau Catholic,,,
school_andrew_hill,Andrew Hill,Andrew Hill,,,
school_hollister,Hollister,Hollister,,,
school_palma,Palma,Palma,,,
school_westmont,Westmont,Westmont,,,
school_convent_&_stuart_hall,Convent & Stuart Hall,Convent & Stuart Hall,,,
school_santa_teresa,Santa Teresa,Santa Teresa,,,
school_leland,Leland,Leland,,,
school_sacred_heart_prep,Sacred Heart Prep,Sacred Heart Prep,,,
school_christopher,Christopher,Christopher,,,
school_saratoga,Saratoga,Saratoga,,,
school_archbishop_riordan,Archbishop Riordan,Archbishop Riordan,,,
school_cupertino,Cupertino,Cupertino,,,
school_del_mar,Del Mar,Del Mar,,,
school_alameda,Alameda,Alameda,,,
school_stevenson,Stevenson,Stevenson,,,
school_valley_christian-sj,Valley Christian-SJ,Valley Christian-SJ,,,
school_deer_valley,Deer Valley,Deer Valley,,,
school_st_ignatius,St Ignatius,St Ignatius,,,
school_independence,Independence,Independence,,,
school_pioneer,Pioneer,Pioneer,,,
school_everett_alvarez,Everett Alvarez,Everett Alvarez,,,
school_irvington,Irvington,Irvington,,,
school_harbor,Harbor,Harbor,,,
school_westmoor,Westmoor,Westmoor,,,
school_monterey,Monterey,Monterey,,,
school_burlingame,Burlingame,Burlingame,,,
school_denair,Denair,Denair,,,
school_alpha_cindy_avitia,Alpha Cindy Avitia,Alpha Cindy Avitia,,,
school_patterson,Patterson,Patterson,,,
school_sequoia,Sequoia,Sequoia,,,
school_willow_glen,Willow Glen,Willow Glen,,,
school_marina,Marina,Marina,,,
school_sacred_heart_cathedral,Sacred Heart Cathedral,Sacred Heart Cathedral,,,
school_presentation,Presentation,Presentation,,,
school_notre_dame_(sj),Notre Dame (SJ),Notre Dame (SJ),,,
school_mt_pleasant,Mt Pleasant,Mt Pleasant,,,
school_piedmont_hills,Piedmont Hills,Piedmont Hills,,,
school_branham,Branham,Branham,,,
school_carlmont,Carlmont,Carlmont,,,
school_greenfield,Greenfield,Greenfield,,,
school_archbishop_mitty,Archbishop Mitty,Archbishop Mitty,,,
school_harker,Harker,Harker,,,
school_pacific_collegiate,Pacific Collegiate,Pacific Collegiate,,,
school_king_city,King City,King City,,,
school_st_francis_(mountain_view),St Francis (Mountain View),St Francis (Mountain View),,,
school_alisal,Alisal,Alisal,,,
school_kennedy_(sacramento),Kennedy (Sacramento),Kennedy (Sacramento),,,
school_tamalpais,Tamalpais,Tamalpais,,,
school_bellarmine_college_prep,Bellarmine College Prep,Bellarmine College Prep,,,
school_gb_kirby,GB Kirby,GB Kirby,,,
school_junipero_serra,Junipero Serra,Junipero Serra,,,
school_bishop_o'dowd,Bishop O'Dowd,Bishop O'Dowd,,,
school_scotts_valley,Scotts Valley,Scotts Valley,,,
school_summit_tahoma,Summit Tahoma,Summit Tahoma,,,
school_aptos,Aptos,Aptos,,,
school_lowell,Lowell,Lowell,,,
school_st._francis_salesian_college_preparatory,St. Francis Salesian College Preparatory,St. Francis Salesian College Preparatory,,,
school_silver_creek,Silver Creek,Silver Creek,,,
school_andrew_hill,Andrew Hill,Andrew Hill,,,
school_westmont,Westmont,Westmont,,,
school_pioneer,Pioneer,Pioneer,,,
school_mt_pleasant,Mt Pleasant,Mt Pleasant,,,
school_independence,Independence,Independence,,,
