athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1013879,253897,Mens 2 Miles Freshman,M,3218,Frosh,"Hidden Valley Park, 2 Miles"
1013880,253897,Mens 2 Miles Frosh/Soph,M,3218,Frosh,"Hidden Valley Park, 2 Miles"
1013881,253897,Womens 2 Miles Frosh/Soph,F,3218,Frosh,"Hidden Valley Park, 2 Miles"
1013882,253897,Mens 2 Miles Varsity - Small Schools,M,3218,Varsity,"Hidden Valley Park, 2 Miles"
1013883,253897,Womens 2 Miles Varsity - Small Schools,F,3218,Varsity,"Hidden Valley Park, 2 Miles"
1013884,253897,Mens 2 Miles Varsity - Large Schools,M,3218,Varsity,"Hidden Valley Park, 2 Miles"
1013885,253897,Womens 2 Miles Varsity - Large Schools,F,3218,Varsity,"Hidden Valley Park, 2 Miles"
1013886,253897,Mens 2 Miles Junior Varsity,M,3218,JV,"Hidden Valley Park, 2 Miles"
1013887,253897,Womens 2 Miles Junior Varsity,F,3218,JV,"Hidden Valley Park, 2 Miles"
1013888,253897,Mens 2 Miles JV/FS OVERFLOW Unlimited,M,3218,JV,"Hidden Valley Park, 2 Miles"
1013889,253897,Womens 2 Miles JV/FS OVERFLOW Unlimited,F,3218,JV,"Hidden Valley Park, 2 Miles"
1013890,253897,Mens 2 Miles Community Race,M,3218,Other,"Hidden Valley Park, 2 Miles"
1013891,253897,Womens 2 Miles Community Race,F,3218,Other,"Hidden Valley Park, 2 Miles"
