athletic_net_id,name,short_name,city,state,league
school_st_ignatius,St Ignatius,St Ignatius,,,
school_los_gatos,Los Gatos,Los Gatos,,,
school_leland,Leland,Leland,,,
school_everett_alvarez,Everett Alvarez,Everett Alvarez,,,
school_pioneer,Pioneer,Pioneer,,,
school_pacific_grove,Pacific Grove,Pacific Grove,,,
school_latino_college_prep,Latino College Prep,Latino College Prep,,,
school_watsonville,Watsonville,Watsonville,,,
school_stevenson,Stevenson,Stevenson,,,
school_st_francis_(mountain_view),St Francis (Mountain View),St Francis (Mountain View),,,
school_alisal,Alisal,Alisal,,,
school_king_city,King City,King City,,,
school_greenfield,Greenfield,Greenfield,,,
school_salinas,Salinas,Salinas,,,
school_windsor,Windsor,Windsor,,,
school_north_monterey_county,North Monterey County,North Monterey County,,,
school_evergreen_valley,Evergreen Valley,Evergreen Valley,,,
school_palma,Palma,Palma,,,
school_atwater,Atwater,Atwater,,,
school_willow_glen,Willow Glen,Willow Glen,,,
school_cupertino,Cupertino,Cupertino,,,
school_aptos,Aptos,Aptos,,,
school_prospect,Prospect,Prospect,,,
school_harbor,Harbor,Harbor,,,
school_carmel,Carmel,Carmel,,,
school_adrian_wilcox,Adrian Wilcox,Adrian Wilcox,,,
school_scotts_valley,Scotts Valley,Scotts Valley,,,
school_santa_cruz,Santa Cruz,Santa Cruz,,,
school_marina,Marina,Marina,,,
school_gilroy,Gilroy,Gilroy,,,
school_monterey,Monterey,Monterey,,,
school_livingston,Livingston,Livingston,,,
school_trinity_christian,Trinity Christian,Trinity Christian,,,
school_pacific_collegiate,Pacific Collegiate,Pacific Collegiate,,,
school_gonzales,Gonzales,Gonzales,,,
school_mt_pleasant,Mt Pleasant,Mt Pleasant,,,
school_hollister,Hollister,Hollister,,,
school_woodcreek,Woodcreek,Woodcreek,,,
school_north_salinas,North Salinas,North Salinas,,,
school_lathrop,Lathrop,Lathrop,,,
school_monte_vista_christian,Monte Vista Christian,Monte Vista Christian,,,
school_silver_creek,Silver Creek,Silver Creek,,,
school_stockton_christian,Stockton Christian,Stockton Christian,,,
school_waldorf_school_of_the_peninsula,Waldorf School of the Peninsula,Waldorf School of the Peninsula,,,
school_san_lorenzo_valley,San Lorenzo Valley,San Lorenzo Valley,,,
school_turlock_christian,Turlock Christian,Turlock Christian,,,
school_soledad,Soledad,Soledad,,,
school_el_camino,El Camino,El Camino,,,
school_valley_christian-sj,Valley Christian-SJ,Valley Christian-SJ,,,
school_antelope,Antelope,Antelope,,,
