athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1022022,254378,"Mens 5,000 Meters Division 3 Varsity",M,5000,Varsity,Woodward Park. 5000 Meters
1022023,254378,"Womens 5,000 Meters Division 3 Varsity",F,5000,Varsity,Woodward Park. 5000 Meters
1022024,254378,"Womens 5,000 Meters Division 4 Varsity",F,5000,Varsity,Woodward Park. 5000 Meters
1022025,254378,"Mens 5,000 Meters Division 4 Varsity",M,5000,Varsity,Woodward Park. 5000 Meters
1023284,254378,"Womens 5,000 Meters Division 5 Varsity",F,5000,Varsity,Woodward Park. 5000 Meters
1023285,254378,"Womens 5,000 Meters FS Small and Medium",F,5000,Other,Woodward Park. 5000 Meters
1023286,254378,"Mens 5,000 Meters Division 5 Varsity",M,5000,Varsity,Woodward Park. 5000 Meters
1023291,254378,"Mens 5,000 Meters FS Small and Medium",M,5000,Other,Woodward Park. 5000 Meters
1023292,254378,"Womens 5,000 Meters JV Small and Medium",F,5000,JV,Woodward Park. 5000 Meters
1023293,254378,"Mens 5,000 Meters JV Small and Medium",M,5000,JV,Woodward Park. 5000 Meters
1023294,254378,"Womens 5,000 Meters Division 2 Varsity",F,5000,Varsity,Woodward Park. 5000 Meters
1023295,254378,"Womens 5,000 Meters Division 1 Varsity",F,5000,Varsity,Woodward Park. 5000 Meters
1023298,254378,"Mens 5,000 Meters Division 2 Varsity",M,5000,Varsity,Woodward Park. 5000 Meters
1023299,254378,"Mens 5,000 Meters Division 1 Varsity",M,5000,Varsity,Woodward Park. 5000 Meters
1023300,254378,"Womens 5,000 Meters FS Large Schools",F,5000,Other,Woodward Park. 5000 Meters
1023301,254378,"Mens 5,000 Meters FS Large Schools",M,5000,Other,Woodward Park. 5000 Meters
1023302,254378,"Womens 5,000 Meters JV XLarge Schools",F,5000,JV,Woodward Park. 5000 Meters
1023303,254378,"Mens 5,000 Meters JV XLarge Schools",M,5000,JV,Woodward Park. 5000 Meters
1028364,254378,"Mens 5,000 Meters Division 6 Varsity",M,5000,Varsity,Woodward Park. 5000 Meters
1028365,254378,"Womens 5,000 Meters Division 6 Varsity",F,5000,Varsity,Woodward Park. 5000 Meters
1069518,254378,"Mens 5,000 Meters Friday Championship",M,5000,Other,Woodward Park. 5000 Meters
1069523,254378,"Mens 5,000 Meters Saturday Championship",M,5000,Other,Woodward Park. 5000 Meters
1069524,254378,"Womens 5,000 Meters Friday Championship",F,5000,Other,Woodward Park. 5000 Meters
1069525,254378,"Womens 5,000 Meters Saturday Championship",F,5000,Other,Woodward Park. 5000 Meters
1072461,254378,"Mens 5,000 Meters JV Large Schools",M,5000,JV,Woodward Park. 5000 Meters
1072462,254378,"Womens 5,000 Meters JV Large Schools",F,5000,JV,Woodward Park. 5000 Meters
