athletic_net_id,name,short_name,city,state,league
school_ontario,Ontario,Ontario,,,
school_rio_mesa,Rio Mesa,Rio Mesa,,,
school_claremont,Claremont,Claremont,,,
school_canyon_(canyon_country),Canyon (Canyon Country),Canyon (Canyon Country),,,
school_monte_vista,Monte Vista,Monte Vista,,,
school_newbury_park,Newbury Park,Newbury Park,,,
school_el_dorado,El Dorado,El Dorado,,,
school_ventura,Ventura,Ventura,,,
school_paso_robles,Paso Robles,Paso Robles,,,
school_arroyo_grande,Arroyo Grande,Arroyo Grande,,,
school_tokay,Tokay,Tokay,,,
school_del_oro,Del Oro,Del Oro,,,
school_bella_vista,Bella Vista,Bella Vista,,,
school_spanish_springs,Spanish Springs,Spanish Springs,,,
school_villa_park,Villa Park,Villa Park,,,
school_rowland,Rowland,Rowland,,,
school_tesoro,Tesoro,Tesoro,,,
school_woodcreek,Woodcreek,Woodcreek,,,
school_college_park,College Park,College Park,,,
school_golden_valley_(sj),Golden Valley (SJ),Golden Valley (SJ),,,
school_atwater,Atwater,Atwater,,,
school_los_gatos,Los Gatos,Los Gatos,,,
school_tulare_western,Tulare Western,Tulare Western,,,
school_dana_hills,Dana Hills,Dana Hills,,,
school_la_jolla,La Jolla,La Jolla,,,
school_san_marcos_(sb),San Marcos (SB),San Marcos (SB),,,
school_el_toro,El Toro,El Toro,,,
school_fullerton,Fullerton,Fullerton,,,
school_vista_del_lago,Vista Del Lago,Vista Del Lago,,,
school_granite_bay,Granite Bay,Granite Bay,,,
school_capistrano_valley,Capistrano Valley,Capistrano Valley,,,
school_simi_valley,Simi Valley,Simi Valley,,,
school_branson,Branson,Branson,,,
school_george_washington,George Washington,George Washington,,,
school_santa_barbara,Santa Barbara,Santa Barbara,,,
school_pleasant_valley,Pleasant Valley,Pleasant Valley,,,
school_merrill_west,Merrill West,Merrill West,,,
school_hart,Hart,Hart,,,
school_matilda_torres,Matilda Torres,Matilda Torres,,,
school_newport_harbor,Newport Harbor,Newport Harbor,,,
school_thousand_oaks,Thousand Oaks,Thousand Oaks,,,
school_burlingame,Burlingame,Burlingame,,,
school_chico,Chico,Chico,,,
