athletic_net_id,name,short_name,city,state,league
school_pioneer,Pioneer,Pioneer,,,
school_gissv,GISSV,GISSV,,,
school_half_moon_bay,Half Moon Bay,Half Moon Bay,,,
school_willow_glen,Willow Glen,Willow Glen,,,
school_mills,Mills,Mills,,,
school_leland,Leland,Leland,,,
school_montgomery,Montgomery,Montgomery,,,
school_prospect,Prospect,Prospect,,,
school_convent_&_stuart_hall,Convent & Stuart Hall,Convent & Stuart Hall,,,
school_george_washington,George Washington,George Washington,,,
school_hughson,Hughson,Hughson,,,
school_scotts_valley,Scotts Valley,Scotts Valley,,,
school_nueva,Nueva,Nueva,,,
school_las_lomas,Las Lomas,Las Lomas,,,
school_piedmont,Piedmont,Piedmont,,,
school_hillsdale,Hillsdale,Hillsdale,,,
school_terra_nova,Terra Nova,Terra Nova,,,
school_monta_vista,Monta Vista,Monta Vista,,,
school_vanden,Vanden,Vanden,,,
school_north_monterey_county,North Monterey County,North Monterey County,,,
school_adrian_wilcox,Adrian Wilcox,Adrian Wilcox,,,
school_summit_shasta,Summit Shasta,Summit Shasta,,,
school_eastside_college_prep,Eastside College Prep,Eastside College Prep,,,
school_hillbrook,Hillbrook,Hillbrook,,,
school_central_east,Central East,Central East,,,
school_silicon_valley_international,Silicon Valley International,Silicon Valley International,,,
school_apostles_lutheran,Apostles Lutheran,Apostles Lutheran,,,
school_casa_grande,Casa Grande,Casa Grande,,,
school_sonoma_academy,Sonoma Academy,Sonoma Academy,,,
school_northgate,Northgate,Northgate,,,
school_calaveras,Calaveras,Calaveras,,,
school_bay_school_of_san_francisco,Bay School of San Francisco,Bay School of San Francisco,,,
school_san_marin,San Marin,San Marin,,,
school_riverbank,Riverbank,Riverbank,,,
school_kipp_san_jose_collegiate,Kipp San Jose Collegiate,Kipp San Jose Collegiate,,,
school_pinole_valley,Pinole Valley,Pinole Valley,,,
school_latino_college_prep,Latino College Prep,Latino College Prep,,,
school_south_san_francisco,South San Francisco,South San Francisco,,,
school_argonaut,Argonaut,Argonaut,,,
school_bret_harte,Bret Harte,Bret Harte,,,
school_millennium,Millennium,Millennium,,,
school_linden,Linden,Linden,,,
school_moreau_catholic,Moreau Catholic,Moreau Catholic,,,
school_novato,Novato,Novato,,,
school_dos_palos,Dos Palos,Dos Palos,,,
school_destiny_christian_academy,Destiny Christian Academy,Destiny Christian Academy,,,
school_soledad,Soledad,Soledad,,,
school_st_mary's_college,St Mary's College,St Mary's College,,,
school_san_francisco_waldorf,San Francisco Waldorf,San Francisco Waldorf,,,
school_santa_rosa,Santa Rosa,Santa Rosa,,,
school_san_lorenzo,San Lorenzo,San Lorenzo,,,
school_chesterton_academy_of_st._james,Chesterton Academy Of St. James,Chesterton Academy Of St. James,,,
school_sutter,Sutter,Sutter,,,
school_el_cerrito,El Cerrito,El Cerrito,,,
school_mt_pleasant,Mt Pleasant,Mt Pleasant,,,
school_justin-siena,Justin-Siena,Justin-Siena,,,
school_alhambra_(martinez),Alhambra (Martinez),Alhambra (Martinez),,,
school_healdsburg,Healdsburg,Healdsburg,,,
school_leadership_hayward,Leadership Hayward,Leadership Hayward,,,
school_san_lorenzo_valley,San Lorenzo Valley,San Lorenzo Valley,,,
school_orestimba,Orestimba,Orestimba,,,
school_amador,Amador,Amador,,,
school_alpha_cindy_avitia,Alpha Cindy Avitia,Alpha Cindy Avitia,,,
school_kipp_king_collegiate,KIPP King Collegiate,KIPP King Collegiate,,,
school_mt_diablo,Mt Diablo,Mt Diablo,,,
school_mid-peninsula,Mid-Peninsula,Mid-Peninsula,,,
school_balboa,Balboa,Balboa,,,
school_sonoma_valley,Sonoma Valley,Sonoma Valley,,,
school_overfelt,Overfelt,Overfelt,,,
school_harbor,Harbor,Harbor,,,
school_fremont,Fremont,Fremont,,,
school_castro_valley,Castro Valley,Castro Valley,,,
school_armijo,Armijo,Armijo,,,
school_santa_clara,Santa Clara,Santa Clara,,,
school_los_altos,Los Altos,Los Altos,,,
school_woodside,Woodside,Woodside,,,
school_bear_creek,Bear Creek,Bear Creek,,,
school_menlo-atherton,Menlo-Atherton,Menlo-Atherton,,,
school_carlmont,Carlmont,Carlmont,,,
school_independence,Independence,Independence,,,
school_alisal,Alisal,Alisal,,,
school_cupertino,Cupertino,Cupertino,,,
school_merrill_west,Merrill West,Merrill West,,,
school_grace_davis,Grace Davis,Grace Davis,,,
school_chavez,Chavez,Chavez,,,
