athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1077492,256230,Mens 3 Miles D3 JV Red,M,4828,JV,"Mt. San Antonio College, 3 Miles"
1077493,256230,Womens 3 Miles D3 JV Yellow,F,4828,JV,"Mt. San Antonio College, 3 Miles"
1077494,256230,Mens 3 Miles D3 Frosh Blue,M,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077495,256230,Womens 3 Miles D3 Frosh Green,F,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077500,256230,Mens 3 Miles D3 Soph Red,M,4828,Other,"Mt. San Antonio College, 3 Miles"
1077501,256230,Womens 3 Miles D3 Soph Yellow,F,4828,Other,"Mt. San Antonio College, 3 Miles"
1077502,256230,Mens 3 Miles D3 Varsity Blue,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077503,256230,Womens 3 Miles D3 Varsity Green,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077504,256230,Mens 3 Miles D3 Varsity Red,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077505,256230,Womens 3 Miles D3 Varsity Yellow,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077506,256230,Mens 3 Miles D3 Varsity Blue,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077507,256230,Womens 3 Miles D3 Varsity Green,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077508,256230,Mens 3 Miles D4 Frosh Yellow,M,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077513,256230,Womens 3 Miles D4&5 Frosh Blue,F,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077514,256230,Mens 3 Miles D4&5 Soph Green,M,4828,Other,"Mt. San Antonio College, 3 Miles"
1077515,256230,Womens 3 Miles D4&5 Soph Red,F,4828,Other,"Mt. San Antonio College, 3 Miles"
1077516,256230,Mens 3 Miles D5 Frosh Yellow,M,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077517,256230,Womens 3 Miles D4&5 JV Blue,F,4828,JV,"Mt. San Antonio College, 3 Miles"
1077518,256230,Mens 3 Miles D4 JV Green,M,4828,JV,"Mt. San Antonio College, 3 Miles"
1077519,256230,Mens 3 Miles D5 JV Red,M,4828,JV,"Mt. San Antonio College, 3 Miles"
1077520,256230,Womens 3 Miles D4 Varsity Yellow,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077521,256230,Mens 3 Miles D4 Varsity Blue,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077522,256230,Womens 3 Miles D4 Varsity Green,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077523,256230,Mens 3 Miles D4 Varsity Red,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077524,256230,Womens 3 Miles D5 Varsity Yellow,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077525,256230,Mens 3 Miles D5 Varsity Blue,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077526,256230,Womens 3 Miles D5 Varsity Green,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077527,256230,Mens 3 Miles D5 Varsity Red,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077528,256230,"Womens 3 Miles D3,4&5 Frosh-Soph Blue",F,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077529,256230,Mens 3 Miles D5 Varsity Yellow,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077530,256230,"Mens 3 Miles D3,4&5 JV Green",M,4828,JV,"Mt. San Antonio College, 3 Miles"
1077533,256230,"Mens 3 Miles D3,4&5 Frosh Red",M,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077534,256230,"Womens 3 Miles D3,4&5 Varsity Yellow",F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077535,256230,"Mens 3 Miles D3,4&5 Varsity Blue",M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077536,256230,"Mens 3 Miles D3,4&5 Soph Green",M,4828,Other,"Mt. San Antonio College, 3 Miles"
1077537,256230,"Womens 3 Miles D3,4&5 JV Red",F,4828,JV,"Mt. San Antonio College, 3 Miles"
1077538,256230,"Mens 3 Miles D3,4&5 JV Yellow",M,4828,JV,"Mt. San Antonio College, 3 Miles"
1077539,256230,"Womens 3 Miles D3,4&5 Team Sweepstakes Blue",F,4828,Other,"Mt. San Antonio College, 3 Miles"
1077540,256230,"Mens 3 Miles D3,4&5 Team Sweepstakes Green",M,4828,Other,"Mt. San Antonio College, 3 Miles"
1077541,256230,"Womens 3 Miles D3,4&5 Individual Sweepstakes Red",F,4828,Other,"Mt. San Antonio College, 3 Miles"
1077542,256230,"Mens 3 Miles D3,4&5 Individual Sweepstakes Yellow",M,4828,Other,"Mt. San Antonio College, 3 Miles"
1077543,256230,Mens 3 Miles D1&2 Frosh Blue,M,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077544,256230,Womens 3 Miles D1&2 Frosh Green,F,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077545,256230,Mens 3 Miles D1&2 Frosh Red,M,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077546,256230,Mens 3 Miles D1&2 Soph Yellow,M,4828,Other,"Mt. San Antonio College, 3 Miles"
1077547,256230,Womens 3 Miles D1&2 Soph Blue,F,4828,Other,"Mt. San Antonio College, 3 Miles"
1077548,256230,Mens 3 Miles D1&2 Soph Green,M,4828,Other,"Mt. San Antonio College, 3 Miles"
1077549,256230,Mens 3 Miles D1&2 JV Red,M,4828,JV,"Mt. San Antonio College, 3 Miles"
1077550,256230,Womens 3 Miles D1&2 JV Yellow,F,4828,JV,"Mt. San Antonio College, 3 Miles"
1077551,256230,Mens 3 Miles D1&2 Individual Sweepstakes Blue,M,4828,Other,"Mt. San Antonio College, 3 Miles"
