meet_name,meet_date,season_year,race_name,course_name,gender
BVAL Champions,2024-11-04,2024,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2024-10-23,2024,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Chico Autumn Invitational,2024-10-19,2024,Not Disclosed,"Hooker Oak Park, 5 Kilometers",M
Chico Autumn Invitational,2024-10-19,2024,Not Disclosed,"Hooker Oak Park, 3.5 Kilometers",M
Crystal Springs Invitational,2024-10-12,2024,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Scott Bauhs Invite,2024-09-28,2024,Not Disclosed,"Shadow Cliffs Regional Park, 2.95 Miles",M
League Meet,2024-09-25,2024,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Fighting Knights Invitational,2024-09-14,2024,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Fighting Knights Invitational,2024-09-14,2024,Not Disclosed,"Crystal Springs, 2.13 Miles",M
National Postal,2024-09-09,2024,Not Disclosed,"Track, 2 Miles",M
CA State Championship,2023-11-25,2023,Not Disclosed,"Woodward Park, 5 Kilometers",M
CCS Championships,2023-11-11,2023,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Finals,2023-10-30,2023,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL #3,2023-10-19,2023,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Terry Ward Invitational,2023-10-14,2023,Not Disclosed,"Baylands Park, 5 Kilometers",M
BVAL #2,2023-09-21,2023,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Fighting Knights Invitational,2023-09-16,2023,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Fighting Knights Invitational,2023-09-16,2023,Not Disclosed,"Crystal Springs, 2.13 Miles",M
Lowell Invitational,2023-09-09,2023,Not Disclosed,"Golden Gate Park (Const), 2.78 Miles",M
Lowell Invitational,2023-09-09,2023,Not Disclosed,"Golden Gate Park (Const), 2.08 Miles",M
BVAL #1,2023-09-06,2023,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
CA State Championship,2022-11-26,2022,Not Disclosed,"Woodward Park, 5 Kilometers",M
CCS Championsips,2022-11-12,2022,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Championsips,2022-10-31,2022,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL #4,2022-10-20,2022,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Rough Rider Inv.,2022-10-14,2022,Not Disclosed,"Woodward Park, 3.5 Kilometers",M
Rough Rider Inv.,2022-10-14,2022,Not Disclosed,"Woodward Park, 5 Kilometers",M
Crystal Springs Invitational,2022-10-08,2022,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL #3,2022-10-05,2022,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
BVAL #2,2022-09-23,2022,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Fighting Knights Invitational,2022-09-17,2022,Not Disclosed,"Crystal Springs, 2.13 Miles",M
Fighting Knights Invitational,2022-09-17,2022,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Lowell Invitational,2022-09-10,2022,Not Disclosed,"Golden Gate Park (Const), 2.08 Miles",M
Lowell Invitational,2022-09-10,2022,Not Disclosed,"Golden Gate Park (Const), 2.78 Miles",M
Footlocker West,2021-12-24,2021,Not Disclosed,"Mt SAC, 5 Kilometers",M
CA State Championships,2021-11-27,2021,Not Disclosed,"Woodward Park, 5 Kilometers",M
CCS Championsips,2021-11-13,2021,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Championsips,2021-11-01,2021,Not Disclosed,"Crystal Springs, 2.95 Miles",M
MHAL #4,2021-10-27,2021,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
MHAL #3,2021-10-14,2021,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
MHAL #2,2021-10-07,2021,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Crystal Springs Invitational,2021-10-02,2021,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Lowell Invitational,2021-09-11,2021,Not Disclosed,"Golden Gate Park, 2.93 Miles",M
Lowell Invitational,2021-09-11,2021,Not Disclosed,"Golden Gate Park, 2.13 Miles",M
MHAL #1,2021-09-09,2021,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2021-03-30,2020,Not Disclosed,"Willow Glen High, 2.56 Miles",M
League Meet,2021-03-26,2020,Not Disclosed,"Westmont High School, 5 Kilometers",M
League Meet,2021-03-23,2020,Not Disclosed,"Santa Teresa High School, 2.85 Miles",M
League Meet,2021-03-19,2020,Not Disclosed,"Westmont High School, 5 Kilometers",M
League Meet,2021-03-16,2020,Not Disclosed,"Andrew Hill High School, 2.53 Miles",M
